iter,alpha_M1f,beta_M1f,LL_M1f,LL_M3_sim,LR_sim,best_init_idx,n_total_sim,ll_init_0,ll_init_1,ll_init_2,ll_init_3,ll_init_4,ll_init_anchor
132,0,0.01,-726283.325826,-726283.325826,-0.000000,-1,122398,-726283.347323,-726284.190606,-726284.928106,-726283.940414,-726285.069892,-726283.325826
133,0,0.01,-729637.753751,-729637.753751,0.000000,-1,123049,-729637.808957,-729639.508104,-729640.394021,-729639.207070,-729640.585112,-729637.753751
134,0,0.01,-723736.455759,-723736.455759,0.000000,-1,121903,-723736.489443,-723737.596447,-723738.398200,-723737.299414,-723738.559275,-723736.455759
135,0,0.01,-727506.279758,-727506.279758,-0.000000,-1,122641,-727506.299635,-727508.097149,-727508.797846,-727507.867085,-727508.955607,-727506.279758
136,0.000100000891,0.01038481436,-727389.251065,-727389.253588,0.005047,0,122613,-727389.251065,-727391.229367,-727391.890867,-727391.055867,-727392.050421,-727389.253588
137,0,0.01,-723799.758377,-723799.758377,-0.000000,-1,121915,-723799.771470,-723801.474559,-723802.231023,-723801.219065,-723802.396468,-723799.758377
138,0,0.01,-727243.858299,-727243.858300,0.000000,-1,122620,-727243.918465,-727245.703798,-727246.554524,-727245.436451,-727246.746221,-727243.858299
139,0,0.01,-726193.220394,-726193.220394,0.000000,-1,122444,-726193.235182,-726195.425975,-726196.235788,-726195.164248,-726196.417718,-726193.220394
140,0.003372059547,0.06552999212,-728947.533180,-728948.830604,2.594849,3,122927,-728947.952851,-728947.655401,-728948.096097,-728947.533180,-728948.181361,-728948.830605
141,0.0001001677187,0.01077134664,-724117.222177,-724117.234086,0.023818,0,121949,-724117.222177,-724118.146642,-724118.706925,-724117.988350,-724118.830971,-724117.234086
142,0,0.01,-726005.894703,-726005.894703,-0.000000,-1,122351,-726005.925634,-726007.434766,-726008.251262,-726007.166915,-726008.424577,-726005.894703
143,0,0.01,-729696.625621,-729696.625621,-0.000000,-1,123109,-729696.665907,-729698.629023,-729699.524740,-729698.346483,-729699.722631,-729696.625621
144,0,0.01,-727287.983149,-727287.983149,0.000000,-1,122589,-727288.002066,-727290.388384,-727291.163553,-727290.171784,-727291.354490,-727287.983149
145,0,0.01,-728486.980317,-728486.980317,-0.000000,-1,122864,-728487.050143,-728488.874382,-728489.701746,-728488.641672,-728489.883657,-728486.980317
146,0,0.01,-726143.069278,-726143.069278,-0.000000,-1,122412,-726143.076402,-726145.230482,-726145.999031,-726145.003316,-726146.180987,-726143.069278
147,0.002568912812,0.08277835085,-727096.003960,-727096.945880,1.883839,3,122624,-727096.962289,-727096.135682,-727096.630663,-727096.003960,-727096.730499,-727096.945880
148,0,0.01,-730340.270138,-730340.270138,-0.000000,-1,123200,-730340.293335,-730342.750767,-730343.605502,-730342.514510,-730343.802425,-730340.270138
149,0,0.01,-728816.596337,-728816.596337,-0.000000,-1,122869,-728816.621653,-728818.736897,-728819.456264,-728818.534022,-728819.625380,-728816.596337
150,0,0.01,-726228.416838,-726228.416838,-0.000000,-1,122403,-726228.453690,-726230.407559,-726231.219522,-726230.136259,-726231.416109,-726228.416838
151,0,0.01,-727169.696997,-727169.696997,0.000000,-1,122588,-727169.710982,-727171.660168,-727172.363575,-727171.467461,-727172.524393,-727169.696997
152,0.000100024795,0.01036618442,-727030.084724,-727030.089567,0.009687,0,122541,-727030.084724,-727031.115913,-727031.933754,-727030.840553,-727032.094607,-727030.089567
153,0,0.01,-727950.166612,-727950.166613,0.000000,-1,122744,-727950.198033,-727952.203685,-727952.898614,-727952.023285,-727953.058219,-727950.166612
154,0.0001004174068,0.01076587684,-726859.178413,-726859.205189,0.053552,0,122528,-726859.178413,-726860.961411,-726861.498963,-726860.817124,-726861.627780,-726859.205189
155,0,0.01,-727313.681076,-727313.681076,0.000000,-1,122631,-727313.718703,-727316.089601,-727316.970384,-727315.825220,-727317.183917,-727313.681076
156,0,0.01,-730344.516050,-730344.516050,-0.000000,-1,123218,-730344.554295,-730346.881981,-730347.806999,-730346.594807,-730348.012294,-730344.516050
157,0.002912043401,0.06573621071,-726893.245712,-726893.485958,0.480492,3,122447,-726893.478251,-726893.351521,-726893.763476,-726893.245712,-726893.854005,-726893.485958
158,0.002619222037,0.07501498431,-726436.075682,-726436.382154,0.612944,3,122464,-726436.389254,-726436.209916,-726436.702340,-726436.075682,-726436.808554,-726436.382154
159,0,0.01,-728614.491476,-728614.491476,0.000000,-1,122852,-728614.508017,-728616.712604,-728617.512410,-728616.491665,-728617.693179,-728614.491476
160,0.004388591001,0.06093512091,-725919.093233,-725922.365727,6.544988,3,122343,-725920.952991,-725919.095074,-725919.202608,-725919.093233,-725919.234171,-725922.365727
161,0,0.01,-728276.977387,-728276.977387,0.000000,-1,122808,-728277.022780,-728279.065405,-728279.835360,-728278.869554,-728280.014727,-728276.977387
162,0.0001565461969,0.03764344446,-725288.785340,-725288.938110,0.305539,0,122161,-725288.785340,-725288.874574,-725289.153699,-725288.810719,-725289.223239,-725288.938110
163,0.0001000420221,0.01076721627,-726594.721142,-726594.725511,0.008739,0,122434,-726594.721142,-726596.151892,-726596.756818,-726595.977691,-726596.890621,-726594.725511
164,0.00254909065,0.07853329858,-728554.284487,-728554.547436,0.525897,3,122830,-728554.547195,-728554.463131,-728555.037774,-728554.284487,-728555.152454,-728554.547436
165,0.0001006381023,0.01077367017,-724488.918697,-724488.958727,0.080060,0,122044,-724488.918697,-724489.131695,-724489.603861,-724488.979751,-724489.703842,-724488.958727
166,0,0.01,-727335.460588,-727335.460588,0.000000,-1,122624,-727335.493183,-727337.644721,-727338.433237,-727337.440006,-727338.611208,-727335.460588
167,0.0001003712107,0.0103722805,-728774.874548,-728774.920446,0.091796,0,122898,-728774.874548,-728775.817861,-728776.495806,-728775.581432,-728776.637427,-728774.920446
168,0.0001000285252,0.0108030732,-725617.383575,-725617.388099,0.009048,0,122320,-725617.383575,-725618.184326,-725618.658216,-725618.063495,-725618.759329,-725617.388099
169,0,0.01,-728467.874712,-728467.874712,-0.000000,-1,122806,-728467.916231,-728470.247419,-728471.118953,-728470.017411,-728471.330931,-728467.874712
